tag,JD,launch_date,launch_year,type,variant,mission,site,agency_raw,agency,provider_group,state_code,category,agency_type,color_category,launch_code
2003-061,2453003.30,2003 Dec 29 1906:18,2003,Chang Zheng 2C,SM,Double Star DSP-E,XSC,CALT,China (CASC / CALT / SAST),China,CN,O,state,state_china,OS
2004-001,2453015.68,2004 Jan 11 0412:59,2004,Zenit-3SL,-,Telstar 14,KLA,SEALP,Intl Commercial (SeaLaunch),International Commercial,US,O,private,private_intl_commercial,OS
2004-002,2453034.00,2004 Jan 29 1158:08,2004,Soyuz-U-PVB,-,Progress M1 No. 260,GIK-5,RAKA,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2004-003,2453041.49,2004 Feb  5 2346:02,2004,Atlas IIAS,-,AMC-10,CC,ILSL,Intl Commercial (ILS-LMA),International Commercial,US,O,private,private_intl_commercial,OS
2004-004,2453050.28,2004 Feb 14 1850:00,2004,Titan 402B/IUS,-,DSP F22,CC,3SLS/AFSMC,NASA / US Military,United States,US,O,state,state_us,OS
2004-005,2453053.80,2004 Feb 18 0705:55,2004,Molniya 8K78M,ML,Molniya-1T?,GIK-1,KVR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2004-006,2453066.80,2004 Mar  2 0717:44,2004,Ariane 5G+,-,Rosetta,CSG,AE,Arianespace,Arianespace,F,O,private,private_arianespace,DS
2004-007,2453077.74,2004 Mar 13 0540:01,2004,Atlas 3A,-,MBSAT,CC,ILSL,Intl Commercial (ILS-LMA),International Commercial,US,O,private,private_intl_commercial,OS
2004-008,2453080.46,2004 Mar 15 2306:00,2004,Proton-M/Briz-M,-,Eutelsat W3A,GIK-5,ILSK,Intl Commercial (ILS-K),International Commercial,RU,O,private,private_intl_commercial,OS
2004-009,2453085.25,2004 Mar 20 1753:00,2004,Delta 7925-9.5,-,Navstar GPS SVN 59,CC,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2004-010,2453091.65,2004 Mar 27 0330:00,2004,Proton-K/DM-2,-,Globus No. 17L,GIK-5,KHRU,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
